gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,csho,costat,prcc_c
001078,20061231,2006,INDL,C,D,STD,ABT,USD,1537.2430,A,48.7100
001161,20061231,2006,INDL,C,D,STD,AMD,USD,547.0000,A,20.3500
001209,20060930,2006,INDL,C,D,STD,APD,USD,217.2510,A,70.2800
001300,20061231,2006,INDL,C,D,STD,HON,USD,800.5920,A,45.2400
001380,20061231,2006,INDL,C,D,STD,HES,USD,315.0180,A,49.5700
001598,20061231,2006,INDL,C,D,STD,AME,USD,106.0590,A,31.8400
001602,20061231,2006,INDL,C,D,STD,AMGN,USD,1166.0000,A,68.3100
001704,20061031,2006,INDL,C,D,STD,AMAT,USD,1391.7300,A,18.4500
001722,20060630,2006,INDL,C,D,STD,ADM,USD,655.6850,A,31.9600
001913,20061231,2006,INDL,C,D,STD,AVY,USD,98.3130,A,67.9300
001988,20061231,2006,INDL,C,D,STD,BLL,USD,104.1370,A,43.6000
002086,20061231,2006,INDL,C,D,STD,BAX,USD,650.4790,A,46.3900
002111,20060930,2006,INDL,C,D,STD,BDX,USD,245.4680,A,70.1500
002220,20061231,2006,INDL,C,D,STD,BIO,USD,26.5040,A,82.5200
002270,20061231,2006,INDL,C,D,STD,VAL,USD,151.8000,A,50.0600
002285,20061231,2006,INDL,C,D,STD,BA,USD,757.8360,A,88.8400
002403,20061231,2006,INDL,C,D,STD,BMY,USD,1967.0000,A,26.3200
002410,20061231,2006,INDL,C,D,STD,BP,USD,3251.7500,A,67.1000
002444,20061231,2006,INDL,C,D,STD,BC,USD,90.8670,A,31.9000
002593,20060930,2006,INDL,C,D,STD,CBT,USD,63.4330,A,43.5700
002663,20060731,2006,INDL,C,D,STD,CPB,USD,402.0000,A,38.8900
002710,20060228,2005,INDL,C,D,STD,STZ,USD,223.0350,A,26.2300
002721,20061231,2006,INDL,C,D,STD,CAJ,USD,1331.6510,A,56.5900
002787,20060630,2006,INDL,C,D,STD,CRS,USD,25.5140,A,102.5200
002817,20061231,2006,INDL,C,D,STD,CAT,USD,645.8080,A,61.3300
002991,20061231,2006,INDL,C,D,STD,CVX,USD,2164.5580,A,73.5300
003026,20061231,2006,INDL,C,D,STD,CHD,USD,65.3610,A,42.6500
003121,20060630,2006,INDL,C,D,STD,CLX,USD,151.2980,A,64.1500
003138,20061231,2006,INDL,C,D,STD,COKE,USD,9.1030,A,68.4300
003144,20061231,2006,INDL,C,D,STD,KO,USD,2318.0000,A,48.2500
003170,20061231,2006,INDL,C,D,STD,CL,USD,512.6590,A,65.2400
003504,20061031,2006,INDL,C,D,STD,COO,USD,44.5480,A,44.5000
003505,20061231,2006,INDL,C,D,STD,TAP,USD,87.0250,A,76.4400
003532,20061231,2006,INDL,C,D,STD,GLW,USD,1565.0000,A,18.7100
003580,20061231,2006,INDL,C,D,STD,CR,USD,60.4730,A,36.6400
003619,20061231,2006,INDL,C,D,STD,CCK,USD,162.7110,A,20.9200
003650,20061231,2006,INDL,C,D,STD,CMI,USD,50.2000,A,118.1800
003735,20061231,2006,INDL,C,D,STD,DHR,USD,308.2420,A,72.4400
003863,20061231,2006,INDL,C,D,STD,DLX,USD,51.5190,A,25.2000
004001,20061231,2006,INDL,C,D,STD,DXYN,USD,12.9380,A,12.6400
004040,20061231,2006,INDL,C,D,STD,RRD,USD,218.8000,A,35.5400
004058,20061231,2006,INDL,C,D,STD,DOV,USD,204.3160,A,49.0200
004060,20061231,2006,INDL,C,D,STD,DD,USD,958.0510,A,39.9000
004108,20061231,2006,INDL,C,D,STD,FLS,USD,56.0220,A,50.4700
004145,20061231,2006,INDL,C,D,STD,PKI,USD,123.2550,A,22.2300
004199,20061231,2006,INDL,C,D,STD,ETN,USD,146.3000,A,75.1400
004213,20061231,2006,INDL,C,D,STD,ECL,USD,251.3370,A,45.2000
004321,20060930,2006,INDL,C,D,STD,EMR,USD,402.3470,A,44.0900
004412,20061231,2006,INDL,C,D,STD,VKSC,USD,9.9380,A,1.5100
004462,20061231,2006,INDL,C,D,STD,NEU,USD,17.2900,A,59.0500
004503,20061231,2006,INDL,C,D,STD,XOM,USD,5729.0000,A,76.6300
004510,20061231,2006,INDL,C,D,STD,FMC,USD,38.3180,A,76.5500
004622,20061231,2006,INDL,C,D,STD,FOE,USD,42.8650,A,20.6900
004809,20061231,2006,INDL,C,D,STD,FLO,USD,60.4510,A,26.9900
004839,20061231,2006,INDL,C,D,STD,F,USD,1892.5380,A,7.5100
004926,20061130,2006,INDL,C,D,STD,FUL,USD,59.9320,A,25.8200
005046,20061231,2006,INDL,C,D,STD,GD,USD,405.7920,A,74.3500
